"chr"	"start"	"end"	"peaknb"	"peakscore"	"name"
"chr19"	11344530	11344706	"peak1939"	5.06189	"TMEM205"
"chr19"	11344530	11344706	"peak1939"	5.06189	"CCDC159"
"chr19"	11344530	11344706	"peak1939"	5.06189	"RAB3D"
"chr19"	11378765	11379010	"peak1940"	3.93395	"SWSAP1"
"chr19"	12783053	12783227	"peak1942"	4.20426	"MIR5684"
"chr19"	13147291	13147493	"peak1943"	8.04965	"IER2"
"chr19"	13147291	13147493	"peak1943"	8.04965	"STX10"
"chr19"	13796866	13797040	"peak1946"	4.02292	"ZSWIM4"
"chr19"	14585257	14585503	"peak1949"	14.92034	"CLEC17A"
"chr19"	17080033	17080279	"peak1954"	10.55494	"MYO9B"
"chr19"	17080033	17080279	"peak1954"	10.55494	"HAUS8"
"chr19"	17333942	17334140	"peak1960"	7.4829	"GTPBP3"
"chr19"	17333942	17334140	"peak1960"	7.4829	"ANO8"
"chr19"	17473182	17473368	"peak1961"	9.03214	"SLC27A1"
"chr19"	17507945	17508175	"peak1962"	10.01828	"PGLS"
"chr19"	17797525	17797799	"peak1963"	10.26344	"B3GNT3"
"chr19"	18260015	18260213	"peak1964"	7.52215	"LOC729966"
"chr19"	18274906	18275139	"peak1965"	11.68565	"KIAA1683"
"chr19"	18392555	18392757	"peak1966"	6.03723	"LRRC25"
"chr19"	21023229	21023414	"peak1968"	5.27044	"ZNF430"
"chr19"	29662700	29662874	"peak1970"	5.82664	"PLEKHF1"
"chr19"	35448707	35448903	"peak1975"	4.63707	"FFAR2"
"chr19"	35528337	35528516	"peak1977"	6.03723	"SBSN"
"chr19"	35528337	35528516	"peak1977"	6.03723	"GAPDHS"
"chr19"	35711189	35711514	"peak1978"	2.96621	"ZBTB32"
"chr19"	36139965	36140176	"peak1980"	9.63914	"CAPNS1"
"chr19"	38651341	38651520	"peak1982"	3.77595	"ACTN4"
"chr19"	39430811	39431152	"peak1984"	5.16406	"RPS16"
"chr19"	39448370	39448628	"peak1985"	7.3918	"SUPT5H"
"chr19"	40373063	40373310	"peak1988"	7.81143	"MIR6796"
"chr19"	41196211	41196464	"peak1990"	14.28359	"CYP2S1"
"chr19"	41367930	41368142	"peak1991"	9.08853	"TMEM91"
"chr19"	41367930	41368142	"peak1991"	9.08853	"B9D2"
"chr19"	43670180	43670371	"peak1994"	8.94172	"PLAUR"
"chr19"	43712099	43712274	"peak1995"	7.27264	"IRGC"
"chr19"	43781210	43781384	"peak1997"	3.91622	"KCNN4"
"chr19"	44530853	44531119	"peak1998"	8.17288	"CEACAM20"
"chr1"	633896	634134	"peak2"	22.79687	"MIR6723"
"chr19"	44911366	44911540	"peak2001"	4.02292	"APOC1"
"chr19"	44925408	44925600	"peak2002"	7.81143	"APOC1P1"
"chr19"	45177782	45177974	"peak2003"	6.50302	"TRAPPC6A"
"chr19"	45177782	45177974	"peak2003"	6.50302	"BLOC1S3"
"chr19"	45424346	45424550	"peak2004"	7.37889	"ERCC1"
"chr19"	45642631	45642805	"peak2006"	8.26291	"EML2"
"chr19"	45642631	45642805	"peak2006"	8.26291	"C19orf83"
"chr19"	45642631	45642805	"peak2006"	8.26291	"MIR330"
"chr19"	47743134	47743428	"peak2014"	19.54032	"GLTSCR2"
"chr19"	48326039	48326222	"peak2015"	10.18837	"EMP3"
"chr19"	48649285	48649462	"peak2016"	8.43402	"CA11"
"chr19"	48875331	48875528	"peak2017"	8.20391	"PPP1R15A"
"chr19"	50646519	50646694	"peak2024"	7.79019	"C19orf81"
"chr19"	50720915	50721107	"peak2025"	6.14631	"SHANK1"
"chr19"	50720915	50721107	"peak2025"	6.14631	"CLEC11A"
"chr19"	51127873	51128100	"peak2026"	10.58166	"SIGLEC9"
"chr19"	51350621	51350867	"peak2027"	10.73306	"ETFB"
"chr19"	51503493	51503727	"peak2029"	10.26344	"SIGLEC12"
"chr19"	54373731	54374074	"peak2033"	3.1431	"LAIR1"
"chr19"	54736841	54737015	"peak2034"	5.50166	"KIR2DS2"
"chr19"	54736841	54737015	"peak2034"	5.50166	"KIR2DS4"
"chr19"	54736841	54737015	"peak2034"	5.50166	"KIR2DL2"
"chr19"	54736841	54737015	"peak2034"	5.50166	"KIR2DL3"
"chr1"	84506536	84506725	"peak204"	9.51255	"GNG5"
"chr19"	55207206	55207387	"peak2040"	5.3765	"PTPRH"
"chr2"	9552697	9552897	"peak2048"	10.68457	"ADAM17"
"chr2"	11744076	11744380	"peak2057"	30.14812	"LPIN1"
"chr2"	25043357	25043546	"peak2073"	9.22205	"EFR3B"
"chr2"	37829254	37829471	"peak2095"	8.33257	"LINC00211"
"chr2"	37871916	37872105	"peak2096"	5.18816	"LINC00211"
"chr2"	41953686	41953895	"peak2103"	8.04965	"C2orf91"
"chr2"	43040586	43040760	"peak2109"	4.30222	"LOC102723854"
"chr1"	89636184	89636436	"peak211"	7.65636	"LRRC8C"
"chr1"	89636184	89636436	"peak211"	7.65636	"FLJ27354"
"chr2"	43221973	43222169	"peak2110"	7.7045	"ZFP36L2"
"chr2"	54533077	54533265	"peak2127"	9.15648	"RPL23AP32"
"chr2"	55051202	55051477	"peak2131"	9.58756	"RTN4"
"chr2"	97662892	97663094	"peak2175"	7.15038	"ACTR1B"
"chr2"	98766840	98767014	"peak2177"	5.62655	"LOC101927070"
"chr1"	93845889	93846070	"peak218"	5.68593	"MIR760"
"chr1"	93845889	93846070	"peak218"	5.68593	"BCAR3"
"chr2"	101306923	101307131	"peak2182"	8.30315	"MIR5696"
"chr2"	101306923	101307131	"peak2182"	8.30315	"RNF149"
"chr2"	102418526	102418700	"peak2191"	6.21278	"IL18RAP"
"chr2"	105396826	105397045	"peak2192"	17.0433	"FHL2"
"chr2"	111321104	111321283	"peak2200"	6.63171	"MIR4435-2"
"chr2"	111321104	111321283	"peak2200"	6.63171	"MIR4435-1"
"chr2"	112640898	112641072	"peak2203"	5.72656	"SLC20A1"
"chr2"	112640898	112641072	"peak2203"	5.72656	"FLJ42351"
"chr2"	112784386	112784560	"peak2205"	5.9401	"IL1A"
"chr2"	112839470	112839655	"peak2207"	6.72342	"IL1B"
"chr2"	113240869	113241243	"peak2210"	10.39162	"PAX8-AS1"
"chr2"	169069396	169069644	"peak2256"	14.77179	"DHRS9"
"chr2"	218964192	218964366	"peak2315"	6.61608	"CDK5R2"
"chr2"	227818269	227818563	"peak2327"	10.09939	"CCL20"
"chr2"	233350805	233351035	"peak2336"	13.51815	"DGKD"
"chr2"	237687702	237687936	"peak2341"	14.42016	"LRRFIP1"
"chr2"	240434069	240434256	"peak2349"	7.81143	"GPC1"
"chr2"	241620585	241620771	"peak2350"	8.71383	"THAP4"
"chr2"	241965909	241966264	"peak2352"	11.89595	"LOC102723927"
"chr20"	341720	342005	"peak2354"	23.70015	"NRSN2"
"chr20"	836522	836696	"peak2355"	4.40773	"FAM110A"
"chr20"	17558795	17558969	"peak2361"	7.4829	"BFSP1"
"chr20"	32823032	32823306	"peak2384"	6.60707	"MAPRE1"
"chr20"	33812260	33812583	"peak2385"	6.60707	"CHMP4B"
"chr20"	33812260	33812583	"peak2385"	6.60707	"ZNF341-AS1"
"chr20"	35093550	35093787	"peak2392"	6.40493	"TRPC4AP"
"chr20"	35769106	35769280	"peak2395"	6.21278	"PHF20"
"chr20"	45344311	45344561	"peak2413"	10.58166	"SDC4"
"chr20"	45885095	45885269	"peak2414"	7.7045	"ZSWIM1"
"chr20"	45885095	45885269	"peak2414"	7.7045	"SPATA25"
"chr20"	48823920	48824129	"peak2425"	9.95234	"PREX1"
"chr1"	109391755	109391929	"peak243"	5.29014	"SORT1"
"chr20"	53582990	53583281	"peak2445"	11.23335	"ZNF217"
"chr20"	59722984	59723208	"peak2457"	2.9611	"PHACTR3"
"chr1"	111507429	111507810	"peak247"	3.93395	"ADORA3"
"chr1"	111507429	111507810	"peak247"	3.93395	"TMIGD3"
"chr21"	29145317	29145579	"peak2482"	17.94361	"MAP3K7CL"
"chr21"	29196451	29196643	"peak2483"	7.17208	"LINC00189"
"chr21"	29300145	29300350	"peak2486"	6.20587	"BACH1"
"chr21"	30718341	30718560	"peak2488"	5.27044	"KRTAP21-3"
"chr1"	112394191	112394433	"peak249"	10.20118	"CTTNBP2NL"
"chr21"	33947806	33947999	"peak2497"	10.30328	"LOC400863"
"chr21"	36323061	36323297	"peak2507"	3.84983	"MORC3"
"chr1"	112705436	112705627	"peak251"	6.40612	"RHOC"
"chr21"	41361785	41361959	"peak2518"	3.36359	"MX2"
"chr21"	45079108	45079342	"peak2523"	8.72193	"ADARB1"
"chr22"	19528243	19528446	"peak2534"	11.38156	"CLDN5"
"chr22"	20509514	20509738	"peak2535"	7.27264	"MED15"
"chr22"	21556111	21556324	"peak2539"	9.03214	"RIMBP3C"
"chr22"	24434141	24434460	"peak2545"	10.68457	"ADORA2A"
"chr22"	29311006	29311180	"peak2552"	7.79019	"RASL10A"
"chr22"	29311006	29311180	"peak2552"	7.79019	"GAS2L1"
"chr22"	30263458	30263730	"peak2554"	10.98992	"OSM"
"chr22"	30609377	30609559	"peak2555"	6.53244	"PES1"
"chr22"	30609377	30609559	"peak2555"	6.53244	"TCN2"
"chr22"	30733389	30733563	"peak2558"	6.03304	"MIR3200"
"chr22"	31102559	31102733	"peak2559"	6.63171	"SELM"
"chr22"	35301509	35301879	"peak2566"	9.04481	"TOM1"
"chr22"	37282400	37282574	"peak2572"	5.93226	"CYTH4"
"chr22"	37677142	37677319	"peak2579"	3.84983	"LGALS1"
"chr22"	37905079	37905302	"peak2580"	6.03723	"MICALL1"
"chr22"	40683024	40683226	"peak2588"	12.01011	"MCHR1"
"chr22"	42635595	42635801	"peak2591"	13.13782	"ATP5L2"
"chr22"	43345826	43346044	"peak2595"	7.81143	"SCUBE1"
"chr1"	15680721	15680994	"peak26"	16.59157	"PLEKHM2"
"chr22"	44574098	44574340	"peak2600"	6.37432	"LINC00207"
"chr22"	46007132	46007312	"peak2601"	8.30315	"LOC730668"
"chr3"	4984042	4984216	"peak2611"	3.1431	"BHLHE40"
"chr3"	4984042	4984216	"peak2611"	3.1431	"BHLHE40-AS1"
"chr3"	13647721	13647919	"peak2629"	10.29519	"LINC00620"
"chr1"	116377974	116378207	"peak263"	9.58756	"ATP1A1"
"chr1"	117003588	117003857	"peak265"	5.29014	"CD101"
"chr3"	28241304	28241506	"peak2659"	6.36606	"CMC1"
"chr3"	33664232	33664525	"peak2665"	9.33182	"CLASP2"
"chr3"	39152622	39152944	"peak2674"	4.78451	"CSRNP1"
"chr3"	42652827	42653026	"peak2679"	7.81143	"ZBTB47"
"chr3"	42652827	42653026	"peak2679"	7.81143	"LOC101928323"
"chr3"	45509132	45509355	"peak2688"	10.43182	"LARS2-AS1"
"chr3"	45916027	45916201	"peak2691"	7.65572	"LZTFL1"
"chr3"	46406561	46406747	"peak2695"	7.47058	"CCRL2"
"chr3"	46406561	46406747	"peak2695"	7.47058	"LOC102724297"
"chr3"	48223197	48223485	"peak2702"	9.03214	"CAMP"
"chr3"	48509146	48509320	"peak2703"	4.30222	"SHISA5"
"chr3"	48564133	48564307	"peak2704"	5.50166	"UCN2"
"chr3"	48595581	48595755	"peak2705"	5.3765	"COL7A1"
"chr3"	49421268	49421442	"peak2708"	5.50166	"AMT"
"chr3"	49428169	49428355	"peak2709"	7.37889	"NICN1"
"chr3"	52062629	52062899	"peak2713"	14.29704	"LINC00696"
"chr3"	52201096	52201283	"peak2714"	6.61608	"ALAS1"
"chr3"	52313817	52313991	"peak2715"	5.50166	"DNAH1"
"chr3"	57060445	57060673	"peak2728"	15.30043	"SPATA12"
"chr3"	58206736	58206929	"peak2733"	6.30724	"DNASE1L3"
"chr3"	58335150	58335455	"peak2736"	6.69742	"PXK"
"chr3"	75432967	75433234	"peak2752"	11.89595	"FAM86DP"
"chr3"	75669182	75669356	"peak2753"	7.07239	"FRG2C"
"chr3"	75669182	75669356	"peak2753"	7.07239	"LINC00960"
"chr3"	81760951	81761147	"peak2754"	8.94172	"GBE1"
"chr3"	119323073	119323302	"peak2777"	11.21659	"ARHGAP31-AS1"
"chr3"	130341484	130341697	"peak2795"	10.98992	"COL6A5"
"chr3"	130850235	130850490	"peak2799"	5.02302	"ATP2C1"
"chr3"	139473181	139473355	"peak2806"	6.37432	"RBP2"
"chr3"	151445396	151445571	"peak2819"	6.30724	"IGSF10"
"chr3"	153160463	153160678	"peak2824"	7.7045	"RAP2B"
"chr3"	179969537	179969835	"peak2844"	13.44972	"PEX5L"
"chr3"	188950988	188951163	"peak2860"	7.75297	"TPRG1-AS1"
"chr3"	197031479	197031684	"peak2873"	10.95609	"MFI2"
"chr4"	687302	687476	"peak2876"	3.36359	"MFSD7"
"chr4"	38857637	38857931	"peak2917"	14.74973	"TLR6"
"chr4"	48909728	48909963	"peak2927"	11.23335	"OCIAD2"
"chr1"	147539087	147539338	"peak293"	15.99185	"BCL9"
"chr1"	147771290	147771535	"peak294"	4.37401	"GJA5"
"chr4"	73223061	73223258	"peak2951"	10.42803	"ANKRD17"
"chr4"	74033799	74033983	"peak2957"	5.72656	"CXCL3"
"chr1"	149200656	149200879	"peak296"	5.3765	"LOC653513"
"chr4"	98929915	98930242	"peak2979"	8.47361	"EIF4E"
"chr1"	149939214	149939584	"peak298"	11.28268	"MTMR11"
"chr1"	150065523	150065725	"peak299"	8.64877	"VPS45"
"chr4"	119209213	119209416	"peak2998"	14.40007	"LOC101929762"
"chr4"	119209213	119209416	"peak2998"	14.40007	"USP53"
"chr1"	150578549	150578750	"peak300"	8.83594	"MCL1"
