chr	start	end	peaknb	peakscore	Gene_Symbol	distance	score
chr12	54383216	54383391	peak1002	5.02302	GPR84	18817	0.285737991982
chr12	54411422	54411741	peak1003	7.94356	ITGA5	-7685	0.446016202119
chr12	54411422	54411741	peak1003	7.94356	COPZ1	86492	0.0190692154643
chr12	54411422	54411741	peak1003	7.94356	GTSF1	-62021	0.0507501857991
chr12	54411422	54411741	peak1003	7.94356	NCKAP1L	-86129	0.0193481204227
chr12	54411422	54411741	peak1003	7.94356	ZNF385A	25792	0.216172192799
chr12	54411422	54411741	peak1003	7.94356	ZNF385A	20276	0.269539589394
chr12	54411422	54411741	peak1003	7.94356	LOC102724050	57891	0.059866391986
chr12	54411422	54411741	peak1003	7.94356	ZNF385A	26851	0.207206375351
chr12	54411422	54411741	peak1003	7.94356	LOC102724050	-8203	0.436869830049
chr12	54411422	54411741	peak1003	7.94356	NCKAP1L	-87202	0.0185352676914
chr12	54411422	54411741	peak1003	7.94356	GPR84	47095	0.0921995526854
chr12	54411422	54411741	peak1003	7.94356	MIR148B	74366	0.0309729820899
chr12	54423277	54423451	peak1004	6.44837	ZNF385A	37575	0.134929885787
chr12	54423277	54423451	peak1004	6.44837	COPZ1	98275	0.0119025811384
chr12	54423277	54423451	peak1004	6.44837	NCKAP1L	-74346	0.0309977703896
chr12	54423277	54423451	peak1004	6.44837	GTSF1	-50238	0.0813072573593
chr12	54423277	54423451	peak1004	6.44837	ITGA5	4098	0.514829243149
chr12	54423277	54423451	peak1004	6.44837	ZNF385A	38634	0.129333621492
chr12	54423277	54423451	peak1004	6.44837	LOC102724050	69674	0.0373672734155
chr12	54423277	54423451	peak1004	6.44837	ZNF385A	32059	0.168240630495
chr12	54423277	54423451	peak1004	6.44837	LOC102724050	3580	0.525607785146
chr12	54423277	54423451	peak1004	6.44837	NCKAP1L	-75419	0.0296954928673
chr12	54423277	54423451	peak1004	6.44837	MIR148B	86149	0.0193326481162
chr12	54423277	54423451	peak1004	6.44837	GPR84	58878	0.0575489148367
chr12	54463104	54463308	peak1005	7.56310	ITGA5	43940	0.104601226688
chr12	54463104	54463308	peak1005	7.56310	GTSF1	-10396	0.400180333388
chr12	54463104	54463308	peak1005	7.56310	ZNF385A	77417	0.0274145879591
chr12	54463104	54463308	peak1005	7.56310	NCKAP1L	-34504	0.152565693293
chr12	54463104	54463308	peak1005	7.56310	PDE1B	-86186	0.0193040569596
chr12	54463104	54463308	peak1005	7.56310	ZNF385A	71901	0.0341825499674
chr12	54463104	54463308	peak1005	7.56310	ZNF385A	78476	0.0262775583168
chr12	54463104	54463308	peak1005	7.56310	PDE1B	-98237	0.0119206868185
chr12	54463104	54463308	peak1005	7.56310	NCKAP1L	-35577	0.14615610736
chr12	54463104	54463308	peak1005	7.56310	LOC102724050	43422	0.106791173607
chr12	54463104	54463308	peak1005	7.56310	PDE1B	-86873	0.0187808038989
chr12	54463104	54463308	peak1005	7.56310	GPR84	98720	0.0116925896627
chr12	54935365	54935590	peak1006	6.70603	TESPA1	-46361	0.0949466617804
chr12	54935365	54935590	peak1006	6.70603	NEUROD4	-84467	0.0206781022699
chr12	54935365	54935590	peak1006	6.70603	TESPA1	-38255	0.131309256671
chr12	54935365	54935590	peak1006	6.70603	MUCL1	80963	0.0237892852323
chr12	54935365	54935590	peak1006	6.70603	TESPA1	-49269	0.0845205989306
chr12	55842914	55843099	peak1007	8.42995	SARNP	25250	0.220909977959
chr12	55842914	55843099	peak1007	8.42995	DNAJC14	13370	0.355297433306
chr12	55842914	55843099	peak1007	8.42995	ORMDL2	24985	0.223264078416
chr12	55842914	55843099	peak1007	8.42995	DGKA	-89021	0.017234536023
chr12	55842914	55843099	peak1007	8.42995	MMP19	23	0.605972908111
chr12	55842914	55843099	peak1007	8.42995	DGKA	-88155	0.0178420009009
chr12	55842914	55843099	peak1007	8.42995	GDF11	99727	0.0112309715519
chr12	55842914	55843099	peak1007	8.42995	TMEM198B	13399	0.354885527235
chr12	55842914	55843099	peak1007	8.42995	WIBG	-84907	0.020317351588
chr12	55842914	55843099	peak1007	8.42995	WIBG	-84119	0.0209679541422
chr12	56321148	56321322	peak1008	5.27516	SLC39A5	91200	0.0157959768677
chr12	56321148	56321322	peak1008	5.27516	RNF41	99304	0.0114226163334
chr12	56321148	56321322	peak1008	5.27516	CNPY2	4891	0.498755142527
chr12	56321148	56321322	peak1008	5.27516	CS	20844	0.263484693993
chr12	56321148	56321322	peak1008	5.27516	PAN2	-12818	0.363229650045
chr12	56321148	56321322	peak1008	5.27516	ANKRD52	62876	0.0490438736928
chr12	56321148	56321322	peak1008	5.27516	PAN2	-12514	0.367673486357
chr12	56321148	56321322	peak1008	5.27516	STAT2	-39018	0.127362236065
chr12	56321148	56321322	peak1008	5.27516	APOF	-41564	0.115030266303
chr12	56321148	56321322	peak1008	5.27516	COQ10A	54378	0.0688985600714
chr12	56321148	56321322	peak1008	5.27516	IL23A	-17643	0.299476298935
chr12	56321148	56321322	peak1008	5.27516	RNF41	99266	0.0114399919123
chr12	56321148	56321322	peak1008	5.27516	RNF41	99534	0.0113180101892
chr12	56321148	56321322	peak1008	5.27516	COQ10A	53953	0.0700798480915
chr12	56321148	56321322	peak1008	5.27516	SLC39A5	90519	0.0162321733012
chr12	56321148	56321322	peak1008	5.27516	NABP2	96895	0.0125780757558
chr12	56570256	56570430	peak1009	5.36505	GLS2	81929	0.0228875999953
chr12	56570256	56570430	peak1009	5.36505	RBMS2	48519	0.0870946343805
chr12	56570256	56570430	peak1009	5.36505	BAZ2A	-66036	0.0432205155271
chr12	56570256	56570430	peak1009	5.36505	SNORD59A	-74758	0.0304911134536
chr12	56570256	56570430	peak1009	5.36505	ATP5B	-75725	0.0293342354403
chr12	56570256	56570430	peak1009	5.36505	BAZ2A	-59988	0.0550496375417
chr12	56570256	56570430	peak1009	5.36505	SNORD59B	-73411	0.0321790390365
chr1	40015119	40015573	peak101	81.34743	CAP1	-25236	0.221033722192
chr1	40015119	40015573	peak101	81.34743	MFSD2A	60235	0.0545084251147
chr1	40015119	40015573	peak101	81.34743	PPT1	-82124	0.0227097711494
chr12	57065044	57065218	peak1010	4.05524	MYO1A	14366	0.341420644612
chr12	57065044	57065218	peak1010	4.05524	TMEM194A	-13660	0.351199795328
chr12	57065044	57065218	peak1010	4.05524	TAC3	48571	0.0869136658136
chr12	57065044	57065218	peak1010	4.05524	STAT6	-45175	0.099559482437
chr12	57065044	57065218	peak1010	4.05524	ZBTB39	58618	0.0581505466136
chr12	57065044	57065218	peak1010	4.05524	STAT6	-46282	0.095247167781
chr12	57065044	57065218	peak1010	4.05524	LRP1	-63367	0.0480900492294
chr12	57065044	57065218	peak1010	4.05524	GPR182	70561	0.0360647263768
chr12	57065044	57065218	peak1010	4.05524	MYO1A	15014	0.332684728076
chr12	57065044	57065218	peak1010	4.05524	NAB2	-23762	0.234457721374
chr12	57248950	57249165	peak1011	9.35846	STAC3	-2136	0.556860789153
chr12	57248950	57249165	peak1011	9.35846	NDUFA4L2	8365	0.43404806594
chr12	57248950	57249165	peak1011	9.35846	R3HDM2	-61406	0.0520141230584
chr12	57248950	57249165	peak1011	9.35846	SHMT2	19013	0.283506564749
chr12	57248950	57249165	peak1011	9.35846	SHMT2	18730	0.286734092404
chr12	57248950	57249165	peak1011	9.35846	MIR1228	54554	0.0684152175703
chr12	57248950	57249165	peak1011	9.35846	SHMT2	19485	0.27820417289
chr12	57248950	57249165	peak1011	9.35846	SHMT2	18692	0.287170259627
chr12	57248950	57249165	peak1011	9.35846	SHMT2	18698	0.287101347035
chr12	57248950	57249165	peak1011	9.35846	NXPH4	32263	0.166873372948
chr12	57520597	57520771	peak1012	5.48643	DDIT3	167	0.602492537251
chr12	57520597	57520771	peak1012	5.48643	MBD6	-2191	0.555637042032
chr12	57520597	57520771	peak1012	5.48643	ARHGAP9	41043	0.117452650627
chr12	57520597	57520771	peak1012	5.48643	PIP4K2C	-70474	0.0361904502573
chr12	57520597	57520771	peak1012	5.48643	DCTN2	-26647	0.208904096657
chr12	57520597	57520771	peak1012	5.48643	SLC26A10	-99225	0.0114587688919
chr12	57520597	57520771	peak1012	5.48643	KIF5A	-29379	0.187278212571
chr12	57520597	57520771	peak1012	5.48643	GLI1	60534	0.0538603873409
chr12	57520597	57520771	peak1012	5.48643	ARHGAP9	40834	0.118438670607
chr12	57520597	57520771	peak1012	5.48643	DTX3	-83937	0.0211211578332
chr12	57520597	57520771	peak1012	5.48643	MARS	32732	0.163772010211
chr12	57520597	57520771	peak1012	5.48643	ARHGEF25	-89495	0.016910847484
chr12	57520597	57520771	peak1012	5.48643	GLI1	60550	0.0538259277213
chr12	57520597	57520771	peak1012	5.48643	ARHGEF25	-90750	0.0160828788226
chr12	57520597	57520771	peak1012	5.48643	INHBE	65372	0.0443838328879
chr12	57520597	57520771	peak1012	5.48643	INHBC	86000	0.0194482147454
chr12	57520597	57520771	peak1012	5.48643	MIR616	1425	0.572925264054
chr12	57520597	57520771	peak1012	5.48643	MIR6758	7997	0.440484509476
chr12	57520597	57520771	peak1012	5.48643	ARHGAP9	42739	0.109748927421
chr12	57771325	57771519	peak1013	6.61608	METTL21B	-1177	0.578636965875
chr12	57771325	57771519	peak1013	6.61608	TSFM	-11322	0.385628811661
chr12	57771325	57771519	peak1013	6.61608	OS9	77468	0.0273587192052
chr12	57771325	57771519	peak1013	6.61608	CTDSP2	-75542	0.0295497498642
chr12	57771325	57771519	peak1013	6.61608	AGAP2	33176	0.160889095369
chr12	57771325	57771519	peak1013	6.61608	MARCH9	16325	0.315688282513
chr12	57771325	57771519	peak1013	6.61608	METTL1	-709	0.589571073817
chr12	57771325	57771519	peak1013	6.61608	AGAP2-AS1	45183	0.0995276284995
chr12	57771325	57771519	peak1013	6.61608	AVIL	-44647	0.101684540327
chr12	57771325	57771519	peak1013	6.61608	TSPAN31	26422	0.210792719582
chr12	57771325	57771519	peak1013	6.61608	MIR6759	22740	0.244240960001
chr12	57771325	57771519	peak1013	6.61608	CDK4	18975	0.283937822401
chr12	57771325	57771519	peak1013	6.61608	MIR26A2	-53270	0.0720208225279
chr12	57771325	57771519	peak1013	6.61608	CYP27B1	4229	0.512138593573
chr12	57771325	57771519	peak1013	6.61608	AGAP2	29261	0.18816425515
chr12	58030909	58031240	peak1014	10.18837	LOC100506844	94910	0.0136174938545
chr12	58030909	58031240	peak1014	10.18837	XRCC6BP1	89413	0.0169664061301
chr12	58594027	58594226	peak1015	4.78451	LOC100506869	2425	0.550460543126
chr12	59597515	59597734	peak1016	6.44837	SLC16A7	-91712	0.0154757654188
chr12	59597515	59597734	peak1016	6.44837	SLC16A7	1585	0.569270250881
chr1	40050999	40051182	peak102	5.47749	CAP1	10508	0.398391535393
chr1	40050999	40051182	peak102	5.47749	MFSD2A	95979	0.0130474834877
chr1	40050999	40051182	peak102	5.47749	PPT1	-46380	0.0948745297311
chr12	62848499	62848692	peak1020	9.22205	PPM1H	-86290	0.0192239188854
chr12	64181531	64181743	peak1021	10.30328	C12orf66	-40659	0.119270649831
chr12	64625669	64625916	peak1022	4.69417	RASSF3	15280	0.329163727509
chr12	64625669	64625916	peak1022	4.69417	MIR548C	3284	0.531867968475
chr12	64625669	64625916	peak1022	4.69417	MIR548Z	3187	0.533935624852
chr12	65649164	65649382	peak1023	4.20426	LOC100507065	6901	0.460224898129
chr12	65656892	65657275	peak1024	22.38519	LOC100507065	14711	0.336741400758
chr12	67710686	67710874	peak1025	6.60707	DYRK2	62049	0.0506933774097
chr12	67710686	67710874	peak1025	6.60707	LOC101927901	-18695	0.287135801264
chr12	67811468	67811669	peak1026	5.45584	LOC101927901	82093	0.0227379487321
chr12	69007410	69007602	peak1027	6.78766	CPM	44266	0.103246081442
chr12	69007410	69007602	peak1027	6.78766	CPM	74307	0.0310461646491
chr12	69059543	69059776	peak1028	16.67764	CPM	96419	0.0128198567692
chr12	69689233	69689407	peak1029	6.50302	RAB3IP	-49365	0.0841966621874
chr12	69689233	69689407	peak1029	6.50302	RAB3IP	-89631	0.016819102247
chr12	69689233	69689407	peak1029	6.50302	BEST3	-10096	0.405011425971
chr12	69689233	69689407	peak1029	6.50302	LRRC10	78158	0.0266139437344
chr12	69689233	69689407	peak1029	6.50302	LOC101928002	-49248	0.084591626061
chr12	69689233	69689407	peak1029	6.50302	RAB3IP	-50069	0.0818587563856
chr12	69689233	69689407	peak1029	6.50302	BEST3	43	0.605488323644
chr1	40059512	40059792	peak103	32.82359	CAP1	19070	0.282860906112
chr1	40059512	40059792	peak103	32.82359	PPT1	-37818	0.133624720676
chr12	75178144	75178318	peak1030	7.52215	KCNC2	-31517	0.171927913083
chr12	75977928	75978228	peak1032	12.82798	PHLDA1	-53698	0.0707983205223
chr12	76020820	76021119	peak1033	7.07239	PHLDA1	-10807	0.393655152657
chr12	76020820	76021119	peak1033	7.07239	NAP1L1	-63989	0.0469083303453
chr12	76183570	76183814	peak1034	11.36139	NAP1L1	98734	0.0116860436455
chr12	80778244	80778430	peak1035	6.78766	LINC01490	15184	0.330430146191
chr12	80778244	80778430	peak1035	6.78766	MYF5	61409	0.0520078817381
chr12	80778244	80778430	peak1035	6.78766	MIR617	-54292	0.0691359792449
chr12	80778244	80778430	peak1035	6.78766	MYF6	70709	0.0358518539209
chr12	80807978	80808241	peak1036	5.37650	MYF5	91181	0.0158079863731
chr12	80807978	80808241	peak1036	5.37650	LINC01490	44956	0.10043545466
chr12	80807978	80808241	peak1036	5.37650	MIR617	-24520	0.227455651058
chr12	81668492	81668844	peak1037	11.68638	PPFIA2	-90662	0.0161395903097
chr12	81668492	81668844	peak1037	11.68638	PPFIA2	-90027	0.016554786574
chr12	81668492	81668844	peak1037	11.68638	PPFIA2	70297	0.036447587838
chr12	81668492	81668844	peak1037	11.68638	PPFIA2	-89839	0.0166797478345
chr1	40064936	40065274	peak104	9.70486	CAP1	24523	0.227428358017
chr1	40064936	40065274	peak104	9.70486	RLF	-96263	0.0129001027826
chr1	40064936	40065274	peak104	9.70486	PPT1	-32365	0.16619391662
chr12	89375570	89375811	peak1043	7.63091	DUSP6	22831	0.243353538992
chr12	89756720	89757060	peak1044	11.68943	LINC00936	47936	0.0891495484272
chr12	89769250	89769501	peak1045	9.20886	LINC00936	60421	0.0541043873162
chr12	91219589	91219832	peak1049	8.33257	DCN	41158	0.11691360918
chr12	91219589	91219832	peak1049	8.33257	DCN	40128	0.121831053665
chr12	91219589	91219832	peak1049	8.33257	DCN	36681	0.13984228879
chr1	40076877	40077300	peak105	62.58143	CAP1	36506	0.140824618956
chr1	40076877	40077300	peak105	62.58143	RLF	-84280	0.0208333543939
chr1	40076877	40077300	peak105	62.58143	PPT1	-20382	0.268399160952
chr12	92912226	92912415	peak1052	4.68553	EEA1	-17011	0.307143565696
chr12	93138079	93138299	peak1053	15.44646	LOC102724933	-36176	0.142695826728
chr12	93785273	93785465	peak1054	3.77595	LOC101928731	47546	0.0905511857286
chr12	94761614	94761814	peak1055	6.91753	KRT19P2	-72739	0.0330557417029
chr12	94761614	94761814	peak1055	6.91753	MIR492	-72683	0.0331298695565
chr12	95633271	95633492	peak1056	8.60098	USP44	85109	0.0201538488279
chr12	95633271	95633492	peak1056	8.60098	USP44	81891	0.0229224156004
chr12	95633271	95633492	peak1056	8.60098	USP44	84537	0.0206202845661
chr12	95633271	95633492	peak1056	8.60098	USP44	99055	0.0115369540486
chr12	95633271	95633492	peak1056	8.60098	PGAM1P5	-15873	0.321447836133
chr12	96055295	96055495	peak1057	6.87954	HAL	59030	0.0572000789702
chr12	96055295	96055495	peak1057	6.87954	LTA4H	11875	0.377192353563
chr12	96055295	96055495	peak1057	6.87954	LTA4H	19734	0.275447012778
chr12	96121478	96121671	peak1058	7.17208	LTA4H	78054	0.0267248883451
chr12	96121478	96121671	peak1058	7.17208	ELK3	-72807	0.0329659522545
chr12	96121478	96121671	peak1058	7.17208	LTA4H	85913	0.0195160124323
chr12	96140189	96140403	peak1059	7.28791	LTA4H	96776	0.0126380901172
chr12	96140189	96140403	peak1059	7.28791	ELK3	-54085	0.0697108016336
chr1	40095860	40096053	peak106	8.28411	CAP1	55374	0.0662076012582
chr1	40095860	40096053	peak106	8.28411	RLF	-65412	0.0443128755363
chr1	40095860	40096053	peak106	8.28411	PPT1	-1514	0.570889276322
chr12	96177024	96177354	peak1060	17.23921	ELK3	-78270	0.0264949799443
chr12	96177024	96177354	peak1060	17.23921	ELK3	-17192	0.304927876753
chr12	96219872	96220086	peak1061	8.60098	ELK3	-35480	0.146724294627
chr12	96219872	96220086	peak1061	8.60098	ELK3	25598	0.217856214569
chr12	96237797	96237993	peak1062	9.76000	ELK3	-17564	0.300424140841
chr12	96237797	96237993	peak1062	9.76000	ELK3	43514	0.106398904306
chr12	96247675	96247849	peak1063	7.65572	ELK3	-7697	0.445802165715
chr12	96247675	96247849	peak1063	7.65572	ELK3	53381	0.0717017589213
chr12	96487326	96487583	peak1064	5.10360	CDK17	86866	0.0187860632603
chr12	98464219	98464436	peak1065	7.37889	TMPO	-51245	0.0780972838961
chr12	98464219	98464436	peak1065	7.37889	TMPO-AS1	-51899	0.0760807502092
chr12	98464219	98464436	peak1065	7.37889	SLC9A7P1	7182	0.455080933511
chr12	98464219	98464436	peak1065	7.37889	LOC643770	-39528	0.124790368688
chr12	101857136	101857316	peak1066	6.69742	GNPTAB	26359	0.211324587107
chr12	101857136	101857316	peak1066	6.69742	DRAM1	-20100	0.271443843212
chr12	104574795	104575048	peak1067	9.41925	MIR3922	-16711	0.310851491545
chr12	104578531	104578724	peak1068	6.49518	MIR3922	-13005	0.360522828396
chr12	104671791	104672034	peak1069	5.82664	MIR3922	80280	0.0244481678605
chr1	40241829	40242076	peak107	14.33218	ZMPSTE24	-16097	0.318580528243
chr1	40241829	40242076	peak107	14.33218	COL9A2	-75315	0.0298192834234
chr1	40241829	40242076	peak107	14.33218	TMCO2	-5948	0.478107345274
chr1	40241829	40242076	peak107	14.33218	RLF	80584	0.0241526783565
chr12	106246311	106246485	peak1070	4.42430	CKAP4	-1537	0.570364299714
chr12	106246311	106246485	peak1070	4.42430	TCP11L2	-56392	0.0635657802385
chr12	106288487	106288678	peak1071	11.55672	POLR3B	-69499	0.0376297619676
chr12	106288487	106288678	peak1071	11.55672	CKAP4	40647	0.119327913486
chr12	106288487	106288678	peak1071	11.55672	POLR3B	-69075	0.0382734053987
chr12	106288487	106288678	peak1071	11.55672	TCP11L2	-14208	0.343585256053
chr12	107759498	107759698	peak1072	11.53301	PWP1	73786	0.0316999555598
chr12	107759498	107759698	peak1072	11.53301	LOC101929162	23044	0.241288974374
chr12	107759498	107759698	peak1072	11.53301	PRDM4	-1539	0.570318672395
chr12	107759498	107759698	peak1072	11.53301	ASCL4	-14786	0.335732690378
chr12	108305651	108305825	peak1073	7.28791	CMKLR1	-33579	0.158316355149
chr12	108305651	108305825	peak1073	7.28791	CMKLR1	-14924	0.333884551483
chr12	108664843	108665017	peak1074	7.07239	SELPLG	32852	0.1629877882
chr12	108664843	108665017	peak1074	7.07239	CORO1C	-65913	0.0434336844289
chr12	108664843	108665017	peak1074	7.07239	MIR4496	29121	0.189220930909
chr12	108664843	108665017	peak1074	7.07239	SELPLG	31036	0.175267833132
chr12	108664843	108665017	peak1074	7.07239	CORO1C	-66620	0.0422225854868
chr12	108664843	108665017	peak1074	7.07239	CORO1C	-38068	0.13229513249
chr12	108664843	108665017	peak1074	7.07239	TMEM119	66812	0.0418995580434
chr12	108734423	108734621	peak1075	6.87954	CORO1C	3679	0.523530494068
chr12	108734423	108734621	peak1075	6.87954	MIR4496	98713	0.0116958640462
chr12	108734423	108734621	peak1075	6.87954	CORO1C	2972	0.53854727289
chr12	108734423	108734621	peak1075	6.87954	SSH1	-93029	0.0146816039627
chr12	108734423	108734621	peak1075	6.87954	CORO1C	31524	0.171879780007
chr12	108838461	108838646	peak1076	5.10360	MIR619	1547	0.570136199617
chr12	108838461	108838646	peak1076	5.10360	DAO	-41527	0.115200637141
chr12	108838461	108838646	peak1076	5.10360	SSH1	-19030	0.283313845817
chr12	108838461	108838646	peak1076	5.10360	SSH1	11002	0.390596586382
chr12	109696958	109697132	peak1077	4.28554	FAM222A	-17336	0.303176540872
chr12	109696958	109697132	peak1077	4.28554	FAM222A-AS1	-76442	0.0285048793813
chr12	109888347	109888588	peak1078	8.30315	TRPV4	55060	0.0670444129063
chr12	109888347	109888588	peak1078	8.30315	TRPV4	73640	0.0318856249271
chr12	109888347	109888588	peak1078	8.30315	TCHP	-12050	0.374561226776
chr12	109888347	109888588	peak1078	8.30315	GLTP	7979	0.440801772524
chr12	109888347	109888588	peak1078	8.30315	MIR4497	55120	0.0668836992489
chr12	109888347	109888588	peak1078	8.30315	TRPV4	73671	0.0318461112557
chr12	109888347	109888588	peak1078	8.30315	TCHP	-11806	0.378234842432
chr12	110109224	110109398	peak1079	5.72656	IFT81	-15023	0.332564983129
chr12	110109224	110109398	peak1079	5.72656	C12orf76	41616	0.11479125201
chr1	40245107	40245314	peak108	10.05295	ZMPSTE24	-12839	0.362924665251
chr1	40245107	40245314	peak108	10.05295	COL9A2	-72057	0.0339699149667
chr1	40245107	40245314	peak108	10.05295	TMCO2	-2690	0.544656477263
chr1	40245107	40245314	peak108	10.05295	RLF	83842	0.021201570921
chr12	110179383	110179571	peak1080	8.48521	IFT81	55143	0.0668221945421
chr12	110314509	110314686	peak1081	4.86600	ANAPC7	-89133	0.0171574979957
chr12	110314509	110314686	peak1081	4.86600	ATP2A2	33371	0.159639041972
chr12	110578425	110578783	peak1082	8.94172	VPS29	76464	0.0284798061213
chr12	110578425	110578783	peak1082	8.94172	RAD9B	76405	0.0285470978367
chr12	110578425	110578783	peak1082	8.94172	RAD9B	76262	0.0287108551358
chr12	110578425	110578783	peak1082	8.94172	TCTN1	-35422	0.14706509016
chr12	110578425	110578783	peak1082	8.94172	PPTC7	-4655	0.503485684099
chr12	110578425	110578783	peak1082	8.94172	TCTN1	-35502	0.146595234043
chr12	110760254	110760433	peak1083	11.09307	PPP1CC	17365	0.302825059983
chr12	110760254	110760433	peak1083	11.09307	HVCN1	70531	0.0361080300255
chr12	110760254	110760433	peak1083	11.09307	CCDC63	-86616	0.0189748663349
chr12	110760254	110760433	peak1083	11.09307	HVCN1	71186	0.0351742851099
chr12	111399367	111399723	peak1084	7.61069	SH2B3	-35316	0.147689969952
chr12	111399367	111399723	peak1084	7.61069	FAM109A	30424	0.179611337269
chr12	111399367	111399723	peak1084	7.61069	SH2B3	-6402	0.469503277278
chr12	111399367	111399723	peak1084	7.61069	MIR6760	95404	0.0133510532783
chr12	111443602	111443776	peak1085	3.20250	SH2B3	8828	0.426083475513
chr12	111443602	111443776	peak1085	3.20250	FAM109A	74568	0.0307237287343
chr12	111443602	111443776	peak1085	3.20250	SH2B3	37742	0.134031557906
chr12	112600046	112600220	peak1086	8.60098	MIR1302-1	-95043	0.0135452411498
chr12	113040749	113040923	peak1087	7.37889	RASAL1	-95403	0.0133515873311
chr12	113040749	113040923	peak1087	7.37889	RASAL1	-94918	0.0136131369536
chr12	113040749	113040923	peak1087	7.37889	OAS2	62368	0.0500506393038
chr12	113040749	113040923	peak1087	7.37889	RASAL1	-94763	0.0136978005888
chr12	113040749	113040923	peak1087	7.37889	DTX1	-17020	0.307033013913
chr12	113214980	113215259	peak1088	13.66115	DDX54	29640	0.18533319867
chr12	113214980	113215259	peak1088	13.66115	RASAL1	79365	0.0253595473132
chr12	113214980	113215259	peak1088	13.66115	RASAL1	78880	0.0258563257009
chr12	113214980	113215259	peak1088	13.66115	TPCN1	-29141	0.189069614699
chr12	113214980	113215259	peak1088	13.66115	RASAL1	79520	0.0252028045246
chr12	113214980	113215259	peak1088	13.66115	TPCN1	-6318	0.471083461513
chr12	113214980	113215259	peak1088	13.66115	MIR6762	-76403	0.0285493816959
chr12	113214980	113215259	peak1088	13.66115	CCDC42B	65262	0.0445795520189
chr12	113214980	113215259	peak1088	13.66115	RITA1	29594	0.18567452568
chr12	113214980	113215259	peak1088	13.66115	IQCD	-5975	0.477591268073
chr12	113214980	113215259	peak1088	13.66115	MIR7106	55942	0.0647203240041
chr12	113962469	113962673	peak1089	4.86629	RBM19	-3800	0.521002728603
